"protein","species","quant","Intensity.03_1x_dda","Intensity.04_2x_dda","Intensity.08_2x_dda","Intensity.11_1x_dda","Intensity.15_1x_dda","Intensity.16_2x_dda","Intensity.19_1x_dda","Intensity.20_2x_dda","Intensity.23_1x_dda","Intensity.24_2x_dda","Intensity.28_2x_dda","Intensity.31_1x_dda","Intensity.35_1x_dda","Intensity.36_2x_dda","Intensity.39_1x_dda","Intensity.40_2x_dda"
"REV__sp|O14717|TRDMT_HUMAN","human","dda",872650,2504328.2617658,1964423.21273261,2146746.21266233,1024466.80334747,1417579.78216302,1121458.59332074,1100122.70665441,2157392.32590492,2033702.11059318,1406552.22232318,1833010.18983217,2546776.52260297,2051274.12450732,914253.319693871,1224752.40268877
"REV__sp|O75976|CBPD_HUMAN","human","dda",30941000,NA,NA,NA,NA,NA,NA,NA,NA,17952191.8749038,NA,20684124.4402769,NA,NA,NA,NA
"REV__sp|O95613|PCNT_HUMAN","human","dda",14926000,75645101.3029342,42054974.7958751,44619590.5636318,14513363.8495318,16775108.4525949,14598058.5796893,10014597.0737812,59128373.2936049,28760800.6256811,60745560.5677759,15571967.4434018,14633175.3083497,17968879.1404344,41753739.3995854,81309922.7400693
"REV__sp|P0CAP1|MYZAP_HUMAN","human","dda",14595000,18832950.2515076,31672590.1654983,23747338.0672283,6927670.2764552,NA,12890804.304884,12268814.5776962,NA,31485852.4081863,37715223.3934581,21338804.5789959,4555343.59219,23077352.6327842,NA,13530324.9635834
"REV__sp|P11274|BCR_HUMAN","human","dda",3688900,10787136.6337409,12053153.9072997,7865219.80003967,8767838.60941192,15848306.8806283,5364737.59755792,23482062.8475249,NA,9709319.15416119,27770280.8818366,2008125.35211687,3392505.08299141,21560580.040214,5619039.72082152,19291155.6665255
"REV__sp|P20839|IMDH1_HUMAN","human","dda",9660900,8845111.448404,3900390.21375226,5796543.48956592,2950377.56586395,5317193.01859677,3004610.94612797,7382406.7982692,2264615.00024814,7415324.98255,7085758.23703899,3291298.42400617,3604421.86667181,17779023.2003247,5378575.20345725,13204761.7569838
"REV__sp|P26842|CD27_HUMAN","human","dda",9722700,NA,NA,NA,NA,26691885.2726372,NA,21397159.6590006,NA,4496062.82690978,NA,NA,NA,NA,NA,22194606.150539
"REV__sp|P49366|DHYS_HUMAN","human","dda",NA,NA,NA,NA,NA,NA,NA,264480.057705547,740822.774304938,NA,1414852.97690752,NA,NA,1252322.9798163,997883.813227869,1134352.30475563
"REV__sp|Q08495|DEMA_HUMAN","human","dda",12222000,14086505.3353498,NA,12376133.9680008,4614997.29782329,7949309.48298182,7505655.70797127,NA,8089743.96988376,4706084.82503324,5237988.98257902,6355766.6646979,13237401.7884904,10496024.8420193,10504091.5238417,8600192.32930431
"REV__sp|Q14562|DHX8_HUMAN","human","dda",14137000,46941554.2409622,NA,NA,NA,NA,NA,NA,NA,57981774.061373,NA,NA,NA,59194592.2122265,NA,NA
"REV__sp|Q6ZS81|WDFY4_HUMAN","human","dda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5896360.18462125,7943359.34514678,NA,4421305.77887068,NA
"REV__sp|Q7Z340|ZN551_HUMAN","human","dda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44422997.1621403
"REV__sp|Q7Z745|MRO2B_HUMAN","human","dda",NA,NA,NA,6245122.5816901,NA,786604.445286546,NA,2429080.35198476,104720811.941883,NA,170644358.666507,49071808.8437829,48110313.4370809,46544791.7873238,NA,115421370.792554
"REV__sp|Q86VQ6|TRXR3_HUMAN","human","dda",NA,NA,NA,3215188.58832895,NA,NA,NA,NA,NA,4427364.04247688,12218072.2285635,NA,NA,NA,NA,10171085.9903305
"REV__sp|Q8IUR7|ARMC8_HUMAN","human","dda",48381000,19342745.5081419,20343239.4855864,21453374.3247246,25982707.3855792,16594161.4790205,25347385.5686982,18690148.2609972,36656155.2257653,24249580.4479202,22203454.313801,38592216.6952229,29030660.7898811,45461679.2109604,25671027.2820796,27360618.5420525
"REV__sp|Q8NB25|F184A_HUMAN","human","dda",NA,1636257.19522286,16190994.0868394,NA,7548716.04605125,6672677.09543803,5847611.51380238,NA,7428272.33795627,4285059.41758014,5119862.85964805,5069296.64246973,4932651.37555548,7426272.1579182,NA,8625684.54265126
"REV__sp|Q8TBZ3|WDR20_HUMAN","human","dda",73534000,29175134.9653254,82813479.8630849,37566297.7463534,91203240.4620968,34603534.2472978,112605805.824386,76710986.3493825,132375989.549933,106460216.276194,123542897.396912,72403855.3990803,64658596.1261148,105904340.799973,72821794.0953463,94967196.8785531
"REV__sp|Q8WZ42|TITIN_HUMAN","human","dda",37290940,9920921.35292873,16271757.7748546,15375485.6914069,20648352.0534747,5591408.59481037,2181041.10229585,3310893.51831821,13888358.9250923,10179087.9848548,29101913.4730396,10893123.9196358,26665416.4490423,22498343.8886574,16017592.412641,11303697.8628496
"REV__sp|Q969S9|RRF2M_HUMAN","human","dda",15227000,19651679.2503849,20884025.5837,22501741.5826856,20013297.7326848,17731332.2966874,NA,15004073.051157,20201557.8723021,20663067.7177642,10476084.3850886,22274196.4894247,17467575.0438535,19459715.1291644,22843640.9958964,17415583.9857383
"REV__sp|Q9BV20|MTNA_HUMAN","human","dda",40302000,72224997.3649576,66976004.024663,34592597.5622379,47030871.0623175,44841013.8335126,63148276.7711709,47599684.8928419,63415159.1461797,60192130.1890794,69328327.9681213,47544849.8439793,90328381.2037031,64823872.7096859,51867307.9557223,54177607.9561039
"REV__sp|Q9HCS2|CP4FC_HUMAN","human","dda",17760000,19806691.940839,21408281.1023952,17635580.0101791,21536569.9210661,24402832.5012404,17735201.2202584,24381597.6909608,9752172.67446343,11847814.172437,19766437.9037836,24028174.0697051,26035053.2940427,13157120.3960155,18919861.4778817,24322028.6137901
"REV__sp|Q9NNW5|WDR6_HUMAN","human","dda",NA,58028236.5244256,41286302.8529233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
